FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
1017,AL,Chambers County,6,5,6,5,13616.00,4816.00,927.00,847.00,67.4,23.8,4.6,4.2,12616.00,6544.00,2238.00,1710.00,54.6,28.3,9.7,7.4,10833.00,6749.00,3998.00,2101.00,45.7,28.5,16.9,8.9,8778.00,7863.00,5517.00,2339.00,35.8,32.1,22.5,9.5,4372.00,8739.00,7515.00,3163.00,18.4,36.7,31.6,13.3
1019,AL,Cherokee County,8,6,6,6,6126.00,1878.00,440.00,329.00,69.8,21.4,5,3.8,6372.00,3158.00,985.00,712.00,56.8,28.1,8.8,6.3,6030.00,4092.00,1966.00,866.00,46.5,31.6,15.2,6.7,6138.00,5865.00,3186.00,1636.00,36.5,34.9,18.9,9.7,3478.00,7598.00,5391.00,2407.00,18.4,40.3,28.6,12.8
1021,AL,Chilton County,1,1,1,1,10285.00,2805.00,538.00,415.00,73.2,20,3.8,3,9678.00,5578.00,1518.00,1158.00,54,31.1,8.5,6.5,9023.00,6770.00,3438.00,1550.00,43.4,32.6,16.5,7.5,8757.00,9264.00,5307.00,2574.00,33.8,35.8,20.5,9.9,5474.00,13348.00,7401.00,3823.00,18.2,44.4,24.6,12.7
1023,AL,Choctaw County,9,10,9,10,5720.00,1922.00,378.00,362.00,68.2,22.9,4.5,4.3,5095.00,2695.00,777.00,640.00,55.3,29.3,8.4,7,4482.00,3070.00,1418.00,836.00,45.7,31.3,14.5,8.5,3704.00,3670.00,2182.00,1013.00,35,34.7,20.6,9.6,1737.00,3515.00,2964.00,1113.00,18.6,37.7,31.8,11.9
1025,AL,Clarke County,7,11,7,11,8459.00,3485.00,800.00,738.00,62.7,25.8,5.9,5.5,7627.00,4596.00,1510.00,1344.00,50.6,30.5,10,8.9,6471.00,5445.00,2614.00,1755.00,39.7,33.4,16.1,10.8,5165.00,6667.00,3733.00,2137.00,29.2,37.7,21.1,12.1,3259.00,7005.00,4456.00,2050.00,19.4,41.8,26.6,12.2
1027,AL,Clay County,9,10,9,10,4784.00,1719.00,345.00,311.00,66.8,24,4.8,4.3,4301.00,2583.00,690.00,479.00,53.4,32.1,8.6,5.9,3999.00,2692.00,1340.00,628.00,46.2,31.1,15.5,7.3,3322.00,3690.00,1992.00,763.00,34,37.8,20.4,7.8,2205.00,3577.00,2678.00,999.00,23.3,37.8,28.3,10.6
1029,AL,Cleburne County,8,4,8,4,4431.00,1198.00,272.00,162.00,73.1,19.8,4.5,2.7,4578.00,2031.00,385.00,431.00,61.7,27.4,5.2,5.8,4068.00,2394.00,1110.00,529.00,50.2,29.6,13.7,6.5,3536.00,3417.00,1701.00,879.00,37.1,35.8,17.8,9.2,2198.00,3980.00,2687.00,1616.00,21,38,25.6,15.4
1031,AL,Coffee County,6,5,4,5,10790.00,4861.00,1332.00,1040.00,59.9,27,7.4,5.8,9836.00,6696.00,3378.00,2766.00,43.4,29.5,14.9,12.2,8522.00,6824.00,6354.00,4274.00,32.8,26.3,24.5,16.5,7755.00,7571.00,7985.00,5574.00,26.8,26.2,27.6,19.3,4967.00,9615.00,12667.00,8044.00,14.1,27.2,35.9,22.8
1033,AL,Colbert County,3,2,3,2,15050.00,7986.00,2151.00,1554.00,56.3,29.9,8,5.8,14231.00,11210.00,3756.00,3034.00,44.2,34.8,11.7,9.4,11952.00,11110.00,7293.00,3956.00,34.8,32.4,21.3,11.5,9972.00,12665.00,9474.00,5273.00,26.7,33.9,25.3,14.1,5783.00,14740.00,11366.00,7070.00,14.8,37.8,29.2,18.1
1035,AL,Conecuh County,9,11,7,11,5889.00,1709.00,332.00,342.00,71.2,20.7,4,4.1,5197.00,2569.00,714.00,556.00,57.5,28.4,7.9,6.2,4242.00,2927.00,1219.00,574.00,47.3,32.7,13.6,6.4,2984.00,3518.00,1877.00,851.00,32.3,38.1,20.3,9.2,1384.00,4516.00,1805.00,1128.00,15.7,51.1,20.4,12.8
1037,AL,Coosa County,8,7,8,3,3983.00,1260.00,269.00,196.00,69.8,22.1,4.7,3.4,3780.00,2100.00,529.00,237.00,56.9,31.6,8,3.6,3315.00,2403.00,1010.00,456.00,46.1,33.4,14.1,6.3,2831.00,3164.00,1597.00,663.00,34.3,38.3,19.3,8,1652.00,3327.00,2221.00,1059.00,20,40.3,26.9,12.8
1039,AL,Covington County,7,9,6,6,13470.00,4333.00,1014.00,918.00,68.3,22,5.1,4.7,12771.00,6401.00,2108.00,1636.00,55.7,27.9,9.2,7.1,10288.00,6962.00,4642.00,2198.00,42.7,28.9,19.3,9.1,8115.00,8473.00,5975.00,3142.00,31.6,33,23.2,12.2,4366.00,9819.00,8119.00,4020.00,16.6,37.3,30.8,15.3
1041,AL,Crenshaw County,8,6,8,6,5595.00,1295.00,385.00,296.00,73.9,17.1,5.1,3.9,5285.00,2062.00,549.00,576.00,62.4,24.3,6.5,6.8,4286.00,2444.00,1327.00,740.00,48.7,27.8,15.1,8.4,3700.00,2689.00,1840.00,1039.00,39.9,29,19.9,11.2,2016.00,3830.00,2157.00,1687.00,20.8,39.5,22.3,17.4
1043,AL,Cullman County,6,3,4,3,20137.00,6244.00,1405.00,1113.00,69.7,21.6,4.9,3.9,19635.00,11353.00,3122.00,2671.00,53.4,30.9,8.5,7.3,18093.00,13529.00,8882.00,3405.00,41.2,30.8,20.2,7.8,15322.00,16584.00,13719.00,6162.00,29.6,32,26.5,11.9,10648.00,19668.00,19406.00,8004.00,18.4,34.1,33.6,13.9
1045,AL,Dale County,4,5,4,5,9412.00,7274.00,2511.00,1895.00,44.6,34.5,11.9,9,8736.00,8575.00,4681.00,2898.00,35.1,34.5,18.8,11.6,7536.00,8199.00,9575.00,3948.00,25.8,28,32.7,13.5,6976.00,9159.00,10857.00,4398.00,22.2,29.2,34.6,14,4651.00,10819.00,11961.00,6078.00,13.9,32.3,35.7,18.1
1047,AL,Dallas County,4,5,4,5,15421.00,6357.00,2219.00,2329.00,58.6,24.1,8.4,8.8,13407.00,8590.00,3575.00,3265.00,46.5,29.8,12.4,11.3,11488.00,8010.00,5448.00,3474.00,40.4,28.2,19.2,12.2,8524.00,9646.00,6568.00,4004.00,29.7,33.6,22.9,13.9,4757.00,9411.00,8178.00,3854.00,18.2,35.9,31.2,14.7
1049,AL,DeKalb County,6,6,6,6,17375.00,4853.00,861.00,884.00,72.5,20.2,3.6,3.7,18316.00,8936.00,2888.00,1808.00,57.3,28,9,5.7,16665.00,10770.00,5529.00,2520.00,47,30.4,15.6,7.1,15469.00,14549.00,9194.00,3528.00,36.2,34,21.5,8.3,12072.00,16431.00,13241.00,6246.00,25.2,34.2,27.6,13
1051,AL,Elmore County,2,2,2,2,11066.00,4755.00,1063.00,967.00,62,26.6,6,5.4,10585.00,9169.00,2722.00,2567.00,42.3,36.6,10.9,10.3,10518.00,10188.00,6695.00,4031.00,33.5,32.4,21.3,12.8,9679.00,14576.00,11749.00,7173.00,22.4,33.8,27.2,16.6,7503.00,18232.00,16298.00,14060.00,13.4,32.5,29.1,25.1
1053,AL,Escambia County,6,6,6,6,12205.00,4721.00,836.00,886.00,65.4,25.3,4.5,4.8,10842.00,7230.00,2365.00,1586.00,49.2,32.8,10.7,7.2,9037.00,7841.00,3942.00,1707.00,40.1,34.8,17.5,7.6,8030.00,8860.00,5927.00,2693.00,31.5,34.7,23.2,10.6,4878.00,11308.00,6449.00,3224.00,18.9,43.7,24.9,12.5
1055,AL,Etowah County,3,2,3,2,31249.00,14834.00,3927.00,2765.00,59.2,28.1,7.4,5.2,27842.00,20344.00,8053.00,5491.00,45.1,33,13,8.9,23588.00,20194.00,15201.00,6689.00,35.9,30.7,23.1,10.2,18115.00,22531.00,19811.00,9372.00,25.9,32.3,28.4,13.4,11127.00,23668.00,24422.00,12815.00,15.4,32.9,33.9,17.8
1057,AL,Fayette County,6,6,6,6,6552.00,2043.00,438.00,360.00,69.8,21.8,4.7,3.8,6340.00,3322.00,756.00,820.00,56.4,29.6,6.7,7.3,5060.00,3700.00,1917.00,995.00,43.4,31.7,16.4,8.5,4265.00,4404.00,2753.00,1157.00,33.9,35,21.9,9.2,2037.00,4831.00,3387.00,1451.00,17.4,41.3,28.9,12.4
1059,AL,Franklin County,6,6,6,6,9158.00,3413.00,558.00,467.00,67.4,25.1,4.1,3.4,9431.00,5062.00,1651.00,1029.00,54.9,29.5,9.6,6,8212.00,5640.00,3171.00,1269.00,44.9,30.8,17.3,6.9,7904.00,6363.00,4572.00,2021.00,37.9,30.5,21.9,9.7,4739.00,7601.00,5539.00,2907.00,22.8,36.6,26.6,14
1061,AL,Geneva County,3,2,3,2,8446.00,2921.00,486.00,554.00,68.1,23.5,3.9,4.5,7816.00,4500.00,1296.00,861.00,54,31.1,9,5.9,6896.00,4924.00,2597.00,1058.00,44.6,31.8,16.8,6.8,6046.00,5626.00,4390.00,1526.00,34.4,32,25,8.7,3672.00,6714.00,5943.00,2331.00,19.7,36,31.8,12.5
1063,AL,Greene County,3,2,8,6,3879.00,753.00,328.00,342.00,73.2,14.2,6.2,6.5,3488.00,1281.00,478.00,558.00,60.1,22.1,8.2,9.6,2734.00,1727.00,838.00,618.00,46.2,29.2,14.2,10.4,2182.00,2165.00,1205.00,652.00,35.2,34.9,19.4,10.5,1204.00,2237.00,1766.00,586.00,20.8,38.6,30.5,10.1
1065,AL,Hale County,3,2,3,2,5803.00,1322.00,309.00,391.00,74.2,16.9,3.9,5,5207.00,2007.00,646.00,564.00,61.8,23.8,7.7,6.7,4218.00,2862.00,1342.00,822.00,45.6,31,14.5,8.9,3683.00,3803.00,2247.00,858.00,34.8,35.9,21.2,8.1,1587.00,4303.00,2620.00,1411.00,16,43.4,26.4,14.2
1067,AL,Henry County,3,2,3,2,5087.00,1456.00,353.00,349.00,70.2,20.1,4.9,4.8,5051.00,2379.00,804.00,779.00,56,26.4,8.9,8.6,4121.00,2871.00,2123.00,817.00,41.5,28.9,21.4,8.2,3654.00,3192.00,2576.00,1545.00,33.3,29.1,23.5,14.1,2509.00,3961.00,3622.00,2076.00,20.6,32.6,29.8,17.1
1069,AL,Houston County,3,2,3,2,17385.00,8637.00,2189.00,2133.00,57.3,28.5,7.2,7,17844.00,13980.00,5521.00,5435.00,41.7,32.7,12.9,12.7,16226.00,15026.00,12206.00,7696.00,31.7,29.4,23.9,15,13771.00,17809.00,16274.00,10817.00,23.5,30.4,27.7,18.4,10076.00,22558.00,23893.00,15672.00,14,31.2,33.1,21.7
1071,AL,Jackson County,6,5,6,5,15217.00,4476.00,877.00,716.00,71.5,21,4.1,3.4,15423.00,9042.00,3094.00,1996.00,52.2,30.6,10.5,6.8,12932.00,9876.00,5568.00,2471.00,41.9,32,18.1,8,12006.00,12707.00,7924.00,3798.00,33,34.9,21.7,10.4,6218.00,15177.00,10429.00,5175.00,16.8,41,28.2,14
1073,AL,Jefferson County,1,1,1,1,186882.00,101656.00,32182.00,33827.00,52.7,28.7,9.1,9.5,141531.00,132921.00,63342.00,63229.00,35.3,33.1,15.8,15.8,111325.00,120393.00,109272.00,84718.00,26.2,28.3,25.7,19.9,82950.00,121233.00,123142.00,106833.00,19.1,27.9,28.4,24.6,44684.00,118636.00,136299.00,150124.00,9.9,26.4,30.3,33.4
1075,AL,Lamar County,9,10,8,7,6105.00,1522.00,350.00,284.00,73.9,18.4,4.2,3.4,5583.00,2988.00,640.00,580.00,57,30.5,6.5,5.9,4802.00,3441.00,1321.00,631.00,47.1,33.8,13,6.2,3759.00,4036.00,2125.00,838.00,34.9,37.5,19.8,7.8,1737.00,3912.00,3014.00,1174.00,17.7,39.8,30.6,11.9
1077,AL,Lauderdale County,3,2,3,2,20423.00,10109.00,2924.00,3016.00,56,27.7,8,8.3,19666.00,15561.00,5109.00,6044.00,42.4,33.6,11,13,16520.00,16585.00,9881.00,8450.00,32.1,32.2,19.2,16.4,13915.00,20105.00,13993.00,10881.00,23.6,34.1,23.8,18.5,8026.00,22873.00,17759.00,14948.00,12.6,36,27.9,23.5
1079,AL,Lawrence County,3,2,3,2,9757.00,3115.00,485.00,328.00,71.3,22.8,3.5,2.4,9514.00,5396.00,1101.00,665.00,57.1,32.4,6.6,4,8663.00,7293.00,2331.00,1211.00,44.4,37.4,12,6.2,7872.00,9029.00,4270.00,1723.00,34.4,39.4,18.7,7.5,4825.00,9605.00,5954.00,2930.00,20.7,41.2,25.5,12.6
1081,AL,Lee County,3,2,3,2,13597.00,5933.00,2498.00,4386.00,51.5,22.5,9.5,16.6,13621.00,9860.00,4712.00,7777.00,37.9,27.4,13.1,21.6,12179.00,11714.00,10091.00,11500.00,26.8,25.8,22.2,25.3,11557.00,16576.00,16686.00,17351.00,18.6,26.7,26.8,27.9,8849.00,23026.00,30907.00,34273.00,9.1,23.7,31.8,35.3
1083,AL,Limestone County,2,2,2,2,13226.00,5239.00,1411.00,1309.00,62.4,24.7,6.7,6.2,12837.00,8272.00,2648.00,2277.00,49.3,31.8,10.2,8.7,12856.00,10620.00,6585.00,4811.00,36.9,30.5,18.9,13.8,11081.00,14102.00,10924.00,7349.00,25.5,32.5,25.1,16.9,10098.00,20044.00,18829.00,16971.00,15.3,30.4,28.6,25.7
1085,AL,Lowndes County,2,2,2,2,4077.00,919.00,272.00,275.00,73.6,16.6,4.9,5,3629.00,1722.00,531.00,430.00,57.5,27.3,8.4,6.8,3007.00,2199.00,1170.00,566.00,43.3,31.7,16.9,8.2,2925.00,2731.00,1626.00,901.00,35.7,33.4,19.9,11,1529.00,2800.00,1696.00,1037.00,21.7,39.6,24,14.7
1087,AL,Macon County,6,5,6,6,7510.00,1937.00,1045.00,1810.00,61,15.7,8.5,14.7,6380.00,3172.00,1871.00,2526.00,45.7,22.7,13.4,18.1,5236.00,3195.00,2852.00,2476.00,38.1,23.2,20.7,18,4188.00,3486.00,3664.00,2617.00,30,25,26.3,18.8,2190.00,3633.00,3760.00,2450.00,18.2,30.2,31.2,20.4
1089,AL,Madison County,2,2,2,2,34090.00,28255.00,12537.00,17289.00,37,30.7,13.6,18.8,32899.00,34718.00,18930.00,23506.00,29.9,31.5,17.2,21.4,30211.00,35243.00,41361.00,46049.00,19.8,23.1,27.1,30.1,26308.00,39591.00,52676.00,61814.00,14.6,21.9,29.2,34.3,20562.00,51126.00,70137.00,105935.00,8.3,20.6,28.3,42.8
1091,AL,Marengo County,7,11,7,11,7786.00,2557.00,757.00,761.00,65.6,21.6,6.4,6.4,7127.00,4241.00,1181.00,1207.00,51.8,30.8,8.6,8.8,5425.00,4840.00,2173.00,1612.00,38.6,34.4,15.5,11.5,4020.00,5351.00,3223.00,1732.00,28.1,37.4,22.5,12.1,2118.00,4970.00,3895.00,2109.00,16.2,38,29.8,16.1
1093,AL,Marion County,8,4,7,11,9771.00,2937.00,448.00,484.00,71.6,21.5,3.3,3.5,10347.00,5194.00,1298.00,1085.00,57.7,29,7.2,6.1,9728.00,5584.00,2852.00,1301.00,50,28.7,14.7,6.7,7962.00,7107.00,4823.00,1719.00,36.8,32.9,22.3,8,4345.00,7408.00,6804.00,2715.00,20.4,34.8,32,12.8
1095,AL,Marshall County,4,5,4,5,19838.00,6898.00,1791.00,1573.00,65.9,22.9,6,5.2,19513.00,11947.00,4260.00,3377.00,49.9,30.6,10.9,8.6,17985.00,13615.00,9719.00,5359.00,38.5,29.2,20.8,11.5,16845.00,16758.00,13719.00,7639.00,30.6,30.5,25,13.9,11761.00,19920.00,19887.00,12387.00,18.4,31.1,31.1,19.4
1097,AL,Mobile County,2,2,2,2,92179.00,43792.00,12675.00,12072.00,57.4,27.2,7.9,7.5,77046.00,69871.00,29075.00,24926.00,38.3,34.8,14.5,12.4,69340.00,75114.00,51722.00,36078.00,29.9,32.3,22.3,15.5,58223.00,79822.00,65452.00,46625.00,23.3,31.9,26.2,18.6,37736.00,94715.00,81698.00,64689.00,13.5,34,29.3,23.2
1099,AL,Monroe County,7,11,7,11,7137.00,2314.00,544.00,604.00,67.3,21.8,5.1,5.7,6079.00,4060.00,1107.00,1068.00,49.4,33,9,8.7,5799.00,4478.00,2413.00,1538.00,40.8,31.5,17,10.8,4939.00,5285.00,3341.00,1813.00,32.1,34.4,21.7,11.8,2113.00,6952.00,3670.00,1983.00,14.4,47.2,24.9,13.5
1101,AL,Montgomery County,2,2,2,2,39981.00,26418.00,10034.00,11119.00,45.7,30.2,11.5,12.7,36541.00,34341.00,17210.00,21989.00,33.2,31.2,15.6,20,31713.00,32844.00,32733.00,31075.00,24.7,25.6,25.5,24.2,27905.00,34410.00,38733.00,40294.00,19.7,24.3,27.4,28.5,19978.00,37648.00,42690.00,50254.00,13.3,25,28.4,33.4
1103,AL,Morgan County,3,2,3,2,22039.00,11946.00,3403.00,3418.00,54,29.3,8.3,8.4,20951.00,18311.00,6843.00,6164.00,40.1,35,13.1,11.8,19814.00,19282.00,15600.00,10019.00,30.6,29.8,24.1,15.5,17347.00,22252.00,20242.00,13490.00,23.7,30.3,27.6,18.4,13137.00,25075.00,25790.00,18476.00,15.9,30.4,31.3,22.4
1105,AL,Perry County,8,6,8,4,5338.00,1263.00,364.00,531.00,71.2,16.8,4.9,7.1,4468.00,2016.00,612.00,762.00,56.9,25.7,7.8,9.7,3507.00,1936.00,885.00,825.00,49,27.1,12.4,11.5,2625.00,2119.00,1533.00,701.00,37.6,30.4,22,10,1010.00,2172.00,1361.00,1340.00,17.2,36.9,23.1,22.8
1107,AL,Pickens County,8,6,3,2,7409.00,2406.00,517.00,496.00,68.4,22.2,4.8,4.6,6800.00,3616.00,850.00,844.00,56.2,29.9,7,7,5682.00,4465.00,1957.00,859.00,43.8,34.4,15.1,6.6,4108.00,5110.00,2995.00,1323.00,30.3,37.8,22.1,9.8,2680.00,5388.00,4380.00,2047.00,18.5,37.2,30.2,14.1
1109,AL,Pike County,6,5,6,5,7862.00,2906.00,906.00,886.00,62.6,23.1,7.2,7.1,7852.00,3979.00,1412.00,1690.00,52.6,26.6,9.5,11.3,6451.00,4406.00,2618.00,2242.00,41,28,16.7,14.3,5472.00,5312.00,3655.00,3264.00,30.9,30,20.6,18.4,2901.00,6899.00,4918.00,4580.00,15,35.7,25.5,23.7
1111,AL,Randolph County,6,4,6,4,7664.00,2268.00,355.00,399.00,71.7,21.2,3.3,3.7,6965.00,3192.00,832.00,858.00,58.8,26.9,7,7.2,6363.00,3678.00,1776.00,992.00,49.7,28.7,13.9,7.7,5618.00,4723.00,2942.00,1479.00,38.1,32,19.9,10,3213.00,5502.00,4454.00,2607.00,20.4,34.9,28.2,16.5
1113,AL,Russell County,2,2,2,2,16516.00,4669.00,801.00,682.00,72.9,20.6,3.5,3,15314.00,7656.00,2284.00,1536.00,57.2,28.6,8.5,5.7,12750.00,9153.00,5332.00,2437.00,43,30.8,18,8.2,10749.00,10594.00,7654.00,3110.00,33.5,33,23.8,9.7,6297.00,12237.00,13449.00,6937.00,16.2,31.4,34.6,17.8
1115,AL,St. Clair County,1,1,1,1,10304.00,3540.00,666.00,471.00,68.8,23.6,4.4,3.1,11841.00,7947.00,2335.00,1519.00,50.1,33.6,9.9,6.4,12450.00,10492.00,6271.00,2708.00,39,32.9,19.6,8.5,12353.00,14921.00,11036.00,4791.00,28.7,34.6,25.6,11.1,9488.00,21849.00,20207.00,9880.00,15.4,35.6,32.9,16.1
1117,AL,Shelby County,1,1,1,1,12329.00,4731.00,1110.00,1123.00,63.9,24.5,5.8,5.8,13473.00,11735.00,5204.00,6564.00,36.4,31.7,14.1,17.8,13507.00,15884.00,14569.00,17978.00,21.8,25.6,23.5,29,12386.00,21671.00,25479.00,34649.00,13.2,23,27.1,36.8,10658.00,28835.00,43503.00,62431.00,7.3,19.8,29.9,42.9
1119,AL,Sumter County,8,6,8,6,5393.00,1391.00,608.00,592.00,67.5,17.4,7.6,7.4,4575.00,2314.00,814.00,843.00,53.5,27.1,9.5,9.9,4259.00,2343.00,1356.00,996.00,47.6,26.2,15.1,11.1,3077.00,2719.00,1849.00,1086.00,35.2,31.1,21.2,12.4,1076.00,2860.00,2408.00,1744.00,13.3,35.4,29.8,21.6
1121,AL,Talladega County,4,5,4,3,21302.00,8258.00,1898.00,1675.00,64.3,24.9,5.7,5.1,20624.00,12765.00,4004.00,3154.00,50.9,31.5,9.9,7.8,18098.00,14713.00,8576.00,4704.00,39.3,31.9,18.6,10.2,16102.00,18270.00,12737.00,5951.00,30.3,34.4,24,11.2,11014.00,18881.00,17721.00,8377.00,19.7,33.7,31.6,15
1123,AL,Tallapoosa County,6,6,6,6,12564.00,4419.00,963.00,833.00,66.9,23.5,5.1,4.4,11867.00,6899.00,2289.00,1904.00,51.7,30,10,8.3,10611.00,7187.00,4461.00,2902.00,42.2,28.6,17.7,11.5,8489.00,9348.00,6524.00,4012.00,29.9,32.9,23,14.1,5546.00,9376.00,8458.00,5287.00,19.3,32.7,29.5,18.4
